Name,Type,Address,Contact,Note,zip,gcode,lat,lon
DHS Family Community Resource Center in Cook County - Calumet Park,Family Community Resource Center,"831 W 119th St Chicago, IL 60643",Phone: (773) 660-4700 TTY: (866) 439-3713 Fax: (773) 660-7142,You may also visit ABE.Illinois.gov or call the IDHS Help is Here toll-free line at 1-833-2-FIND-HELP.,60643,"Illinois Department of Human Services, 831, West 119th Street, Placerdale, West Pullman, Chicago, Lake Township, Cook County, Illinois, 60643, United States",41.6770985,-87.6438504
DHS Family Community Resource Center in Cook County - Englewood,Family Community Resource Center,"5323 S Western Ave Chicago, IL 60609",Phone: (773) 918-6700 TTY: (866) 214-9360 Fax: (773) 918-6767,Please visit ABE.Illinois.gov or call the IDHS Help is Here toll-free line at 1-833-2-FIND-HELP.,60609,"5323, South Western Avenue, Marquette Manor, Gage Park, Chicago, Lake Township, Cook County, Illinois, 60609, United States",41.796910214479894,-87.6842244919808
DHS Family Community Resource Center in Cook County - Humboldt Park,Family Community Resource Center,"2753 West North Avenue Chicago, IL 60647",Phone: (773) 292-7200 TTY: (866) 439-3721 Fax: (773) 292-7224,You may also visit ABE.Illinois.gov or call the IDHS Help is Here toll-free line at 1-833-2-FIND-HELP.,60647,"Illinois DHS Family Community Resource Center, 2753, West North Avenue, West Town, Chicago, Cook County, Illinois, 60647, United States",41.90976595,-87.69680639957079
DHS Family Community Resource Center in Cook County - Lower Nort,Family Community Resource Center,"2650 West Fulton Street Chicago, IL 60612",Phone: (773) 638-7373 TTY: (866) 439-3719 Fax: (773) 638-6099,You may also visit ABE.Illinois.gov or call the IDHS Help is Here toll-free line at 1-833-2-FIND-HELP.,60612,"2650, West Fulton Street, Kinzie Industrial Corridor, East Garfield Park, Chicago, Cook County, Illinois, 60612, United States",41.88664989795918,-87.6933652244898
DHS Family Community Resource Center in Cook County - NORTHWEST,Family Community Resource Center,"4105 West Chicago Avenue Chicago, IL 60651",Phone: (773) 265-7000 TTY: (866) 321-9119 Fax: (773) 265-7103,Please visit ABE.Illinois.gov or call the IDHS Help is Here toll-free line at 1-833-2-FIND-HELP.,60651,"4105, West Chicago Avenue, Humboldt Park, Chicago, Cook County, Illinois, 60651, United States",41.89523415776951,-87.72884000713806
DHS Family Community Resource Center in Cook County - Ogden,Family Community Resource Center,"3920 West Ogden Avenue Chicago, IL 60623",Phone: (773) 522-8370 TTY: (866) 439-3716 Fax: (773) 522-8214,Please visit ABE.Illinois.gov or call the IDHS Help is Here toll-free line at 1-833-2-FIND-HELP.,60623,"3920, West Ogden Avenue, North Lawndale, Chicago, Cook County, Illinois, 60623, United States",41.85134327272727,-87.72373312121212
DHS Family Community Resource Center in Cook County - Roseland,Family Community Resource Center,"11203 S Ellis Ave Chicago, IL 60628",Phone: (773) 660-7000 TTY: (866) 214-8514 Fax: (773) 660-7100,You may also visit ABE.Illinois.gov or call the IDHS Help is Here toll-free line at 1-833-2-FIND-HELP.,60628,"Illinois DHS Family Community Resource Center in Cook County - Roseland, 11203, South Ellis Avenue, The Cottage, Pullman, Chicago, Hyde Park Township, Cook County, Illinois, 60628, United States",41.6907915,-87.60432184303093
DHS Family Community Resource Center in Cook County - South Loop,Family Community Resource Center,"1112 South Wabash Avenue Chicago, IL 60605",Phone: (312) 793-7500 TTY: (866) 217-8037 Fax: (312) 793-7671,You may also visit ABE.Illinois.gov or call the IDHS Help is Here toll-free line at 1-833-2-FIND-HELP.,60605,"Eleven City Diner, 1112, South Wabash Avenue, Printer's Row, Loop, Chicago, Cook County, Illinois, 60605, United States",41.868654,-87.626088
DHS Family Community Resource Center in Cook County - Southeast Temporarily Working Remote,Family Community Resource Center,"8001 S Cottage Grove Ave Chicago, IL 60619",Phone: (773) 602-4200 TTY: (866) 439-3714 Fax: (773) 602-4344,You may also visit ABE.Illinois.gov or call the IDHS Help is Here toll-free line at 1-833-2-FIND-HELP.,60619,"8001, South Cottage Grove Avenue, Chatham, Chicago, Hyde Park Township, Cook County, Illinois, 60619, United States",41.749095,-87.60475609921426
DHS Family Community Resource Center in Cook County - Woodlawn,Family Community Resource Center,"915 E 63rd St Chicago, IL 60637",Phone: (773) 753-2406 TTY: (866) 214-9358 Fax: (773) 753-5282,,60637,"Illinois Department of Human Services, 915, East 63rd Street, Woodlawn, Chicago, Hyde Park Township, Cook County, Illinois, 60637, United States",41.78018605,-87.60227541937049
